Spine,Title,Alternative,Year,Release,Boxset,Format,OOP
152,Illustrious Corpses,,1976,UK/US/CA,,Blu ray,
153,Blood of Revenge,,1965,UK/US/CA,,Blu ray,
154,"Wild Child, The",,1970,UK,,Blu ray,
155,"Japanese Godfather, The",Japan’s Don,1977,UK/US/CA,The Japanese Godfather Trilogy (Nakajima),Blu ray,
156,"Japanese Godfather 2: Ambition, The",,1977,UK/US/CA,The Japanese Godfather Trilogy (Nakajima),Blu ray,
157,"Japanese Godfather 3: Conclusion, The",,1978,UK/US/CA,The Japanese Godfather Trilogy (Nakajima),Blu ray,
158,Iphigenia,,1977,UK/US/CA,,Blu ray,
159,Libido,,1965,UK,,Blu ray,
160,"Dancing Hawk, The",,1977,UK/US/CA,,Blu ray,
161,Cutter’s Way,,1981,UK/US/CA,,Blu ray/4K,
162,Fudoh: The New Generation,,1996,UK,Underworld Chronicles (Miike),Blu ray/4K,
163,Agitator,,2001,UK/US/CA,Underworld Chronicles (Miike); standalone blu in US ,Blu ray/4K,
164,Deadly Outlaw: Rekka,,2002,UK,Underworld Chronicles (Miike),Blu ray/4K,
165,Confessions of a Police Captain,,1971,UK/CA,,Blu ray,
166,Romancing in Thin Air ,,2012,UK/US/CA,,Blu ray,
167,Adieu Philippine,,1962,UK,Time to Play (Rozier),Blu ray,
168,Near Orouët,,1971,UK,Time to Play (Rozier),Blu ray,
169,The Castaways of Turtle Island,,1976,UK,Time to Play (Rozier),Blu ray,
170,Maine-Ocean Express,,1986,UK,Time to Play (Rozier),Blu ray,
171,Fifi Martingale,,2001,UK,Time to Play (Rozier),Blu ray,
174,Matador,,1986,UK,,Blu ray/4K,
